,Epsilon,Score
1248,1.0,-59
1249,1.0,38
1250,1.0,-54
1251,1.0,47
1252,1.0,-61
1253,1.0,-61
1254,1.0,-53
1255,1.0,-60
1256,1.0,-62
1257,1.0,-52
1258,1.0,-57
1259,1.0,-54
1260,1.0,-59
1261,1.0,-53
1262,1.0,-58
1263,1.0,48
1264,1.0,-52
1265,1.0,-59
1266,1.0,-52
1267,1.0,-55
1268,1.0,-65
1269,1.0,-52
1270,1.0,-72
1271,1.0,-53
1272,1.0,-58
1273,1.0,-52
1274,1.0,-65
1275,1.0,-56
1276,1.0,14
1277,1.0,-56
1278,1.0,-52
1279,1.0,-54
1280,1.0,-66
1281,1.0,-53
1282,1.0,-52
1283,1.0,-57
1284,1.0,-53
1285,1.0,-62
1286,1.0,-54
1287,1.0,-69
1288,1.0,-60
1289,1.0,-72
1290,1.0,-61
1291,1.0,-53
1292,1.0,-57
1293,1.0,44
1294,1.0,-56
1295,1.0,-53
1296,1.0,-52
1297,1.0,-69
1298,1.0,-55
1299,1.0,-63
1300,1.0,-59
1301,1.0,-52
1302,1.0,-61
1303,1.0,-52
1304,1.0,-65
1305,1.0,-53
1306,1.0,-55
1307,1.0,-53
1308,1.0,-52
1309,1.0,-58
1310,1.0,-60
1311,1.0,-54
1312,1.0,-52
1313,1.0,-62
1314,1.0,-56
1315,1.0,-58
1316,1.0,-64
1317,1.0,-59
1318,1.0,-53
1319,1.0,-58
1320,1.0,-59
1321,1.0,-52
1322,1.0,-61
1323,1.0,-60
1324,1.0,-52
1325,1.0,-67
1326,1.0,-77
1327,1.0,-53
1328,1.0,-58
1329,1.0,-65
1330,1.0,-54
1331,1.0,-52
1332,1.0,-58
1333,1.0,-60
1334,1.0,-56
1335,1.0,-66
1336,1.0,-64
1337,1.0,-55
1338,1.0,-59
1339,1.0,-61
1340,1.0,-63
1341,1.0,-59
1342,1.0,-53
1343,1.0,-53
1344,1.0,-56
1345,1.0,-54
1346,1.0,-53
1347,1.0,-52
1348,1.0,-52
1349,1.0,-55
1350,1.0,-57
1351,1.0,-68
1352,1.0,-65
1353,1.0,-53
1354,1.0,-72
1355,1.0,-54
1356,1.0,-55
1357,1.0,-59
1358,1.0,-62
1359,1.0,-52
1360,1.0,-57
1361,1.0,-60
1362,1.0,-52
1363,1.0,-72
1364,1.0,-82
1365,1.0,-54
1366,1.0,48
1367,1.0,-54
1368,1.0,-52
1369,1.0,-59
1370,1.0,-76
1371,1.0,-52
1372,1.0,-70
1373,1.0,-66
1374,1.0,-56
1375,1.0,-62
1376,1.0,-65
1377,1.0,-52
1378,1.0,-53
1379,1.0,47
1380,1.0,-66
1381,1.0,-54
1382,1.0,-53
1383,1.0,-59
1384,1.0,-55
1385,1.0,-63
1386,1.0,-55
1387,1.0,-52
1388,1.0,-55
1389,1.0,-57
1390,1.0,-66
1391,1.0,-53
1392,1.0,-53
1393,1.0,-67
1394,1.0,-53
1395,1.0,-54
1396,1.0,-54
1397,1.0,-58
1398,1.0,-58
1399,1.0,42
1400,1.0,-57
1401,1.0,-52
1402,1.0,-74
1403,1.0,-58
1404,1.0,-56
1405,1.0,48
1406,1.0,-66
1407,1.0,-54
1408,1.0,-54
1409,1.0,-55
1410,1.0,-57
1411,1.0,-52
1412,1.0,-56
1413,1.0,-62
1414,1.0,-53
1415,1.0,-59
1416,1.0,-63
1417,1.0,-57
1418,1.0,-52
1419,1.0,-60
1420,1.0,-61
1421,1.0,-56
1422,1.0,-75
1423,1.0,-62
1424,1.0,-68
1425,1.0,-66
1426,1.0,-66
1427,1.0,-52
1428,1.0,-68
1429,1.0,-64
1430,1.0,-74
1431,1.0,-57
1432,1.0,-64
1433,1.0,-55
1434,1.0,-54
1435,1.0,-64
1436,1.0,-64
1437,1.0,-58
1438,1.0,-67
1439,1.0,-58
1440,1.0,48
1441,1.0,-63
1442,1.0,-59
1443,1.0,-73
1444,1.0,-76
1445,1.0,-65
1446,1.0,-69
1447,1.0,-75
1448,1.0,-56
1449,1.0,-60
1450,1.0,-67
1451,1.0,-68
1452,1.0,-56
1453,1.0,-55
1454,1.0,-66
1455,1.0,-53
1456,1.0,-53
1457,1.0,-52
1458,1.0,-54
1459,1.0,-60
1460,1.0,-54
1461,1.0,-57
1462,1.0,-59
1463,1.0,-53
1464,1.0,-60
1465,1.0,-63
1466,1.0,-53
1467,1.0,-58
1468,1.0,37
1469,1.0,-69
1470,1.0,-56
1471,1.0,-52
1472,1.0,-53
1473,1.0,-52
1474,1.0,-55
1475,1.0,-53
1476,1.0,-54
1477,1.0,-56
1478,1.0,-52
1479,1.0,-65
1480,1.0,-54
1481,1.0,-56
1482,1.0,-62
1483,1.0,-68
1484,1.0,-59
1485,1.0,-52
1486,1.0,-62
1487,1.0,-61
1488,1.0,-87
1489,1.0,30
1490,1.0,-53
1491,1.0,-63
1492,1.0,44
1493,1.0,-86
1494,1.0,-60
1495,1.0,-52
1496,1.0,-52
1497,1.0,-59
1498,1.0,-60
1499,1.0,37
1500,1.0,-58
1501,1.0,-58
1502,1.0,-77
1503,1.0,-52
1504,1.0,-59
1505,1.0,-56
